cluster_file,voxel_size,vol_voxel,n_voxels,n_points,elapsed_sec
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.01,0.09081800000000001,90818,105254,0.07532819500011101
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.011559121134605051,0.13825008572217007,89514,105254,0.07626109199918574
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.013361328140447326,0.20929621239140095,87743,105254,0.07571614500011492
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.01544452104946379,0.3133600352428526,85059,105254,0.07865800199942896
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.01785250896767095,0.46379349905789424,81513,105254,0.08046108000053209
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.02063593137139315,0.6711647425682069,76376,105254,0.08020037499954924
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.023853323044733008,0.9446309026631103,69601,105254,0.08205401499981235
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.027572345053693506,1.281309943385378,61127,105254,0.08439561399973172
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.031871207644077165,1.6878477433202768,52136,105254,0.08069252299901564
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.03684031498640387,2.1559500000000003,43119,105254,0.07969188399874838
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.042584166356484814,2.716691252600679,35180,105254,0.08011964199977228
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.0492235537330781,3.379777342208216,28338,105254,0.0802454900003795
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.05689810202763908,4.134035946199309,22443,105254,0.08100002899846004
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.06576920536665974,5.073888248314711,17835,105254,0.08181085000069288
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.07602342117599367,6.131575352557955,13955,105254,0.08216974800052412
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.08787639344404101,7.413753115324837,10925,105254,0.08171070199932728
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.10157738766918833,8.910708147514589,8502,105254,0.07928075700147019
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.11741453286048854,10.591134517938247,6543,105254,0.0796292490013002
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.13572088082974532,12.834999999999996,5134,105254,0.0802309039991087
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.1568814102006323,15.224436624508922,3943,105254,0.07846686499942734
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.1813411224276773,17.782652329848432,2982,105254,0.0801410220010439
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.20961440008267682,21.57921450328606,2343,105254,0.07945060400015791
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.24229582421132284,25.533023284903013,1795,105254,0.07660826499886753
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.28007267824676524,30.185541148028047,1374,105254,0.07616207099999883
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.32373940143476265,35.287429015733785,1040,105254,0.07961926600000879
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.3742142957228954,43.28537361707273,826,105254,0.07769467599973723
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.4325588374561865,50.746151174898976,627,105254,0.07897878800031322
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.5,59.875,479,105254,0.07896370199887315
