cluster_file,voxel_size,vol_voxel_filled,n_voxels_filled,n_points,elapsed_sec
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.015,0.2891632499999999,85678,105254,4.507170079001298
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.018040259151405193,0.47865116839873983,81525,105254,2.6295311379999475
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.02169673001665726,0.7720122965054472,75586,105254,1.5596602309997252
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.026094308815904597,1.2025172817044307,67679,105254,0.8591320770010498
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.031383206227714434,1.6944895130754771,54821,105254,0.5725447980003082
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.03774407822333079,2.317413793615967,43098,105254,0.311945162999109
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.045394196838653124,3.1136921054498585,33287,105254,0.20999622800081852
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.054594871662613426,4.024689176264882,24733,105254,0.12494977099959215
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.06566037554208358,5.157162128044797,18218,105254,0.07229282099979173
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.07896867938385171,6.676182834180202,13557,105254,0.04350631899978907
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.09497436272859426,8.36377717102793,9763,105254,0.031137957999817445
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.1142241410908933,10.616897242235444,7124,105254,0.023165709000750212
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.13737554044175906,13.229816187952146,5103,105254,0.017834393000157434
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.16521935670891194,16.299374143294575,3614,105254,0.014338218999910168
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.19870666745714863,20.56384588070987,2621,105254,0.012504893998993794
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.23898131840260367,25.65958968142829,1880,105254,0.011568432000785833
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.28741899442183,32.76615514136499,1380,105254,0.010253656999339
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.34567420962707324,39.48742625342993,956,105254,0.010013832001277478
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.4157368215753044,48.286391062867374,672,105254,0.00969585899838421
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.5,59.875,479,105254,0.00956903299993428
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.015,0.28083712499999997,83211,104017,4.877632947000166
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.018040259151405193,0.4634036113998864,78928,104017,2.622841526001139
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.02169673001665726,0.7430973279741462,72755,104017,1.51229665900064
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.026094308815904597,1.1187413839630873,62964,104017,0.8675527319992398
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.031383206227714434,1.6323614249106915,52811,104017,0.5006405249987438
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.03774407822333079,2.238209410164384,41625,104017,0.2915269349996379
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.045394196838653124,3.010048915831135,32179,104017,0.17746294300013687
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.054594871662613426,3.924450283587926,24117,104017,0.11387349599863228
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.06566037554208358,5.061763970335328,17881,104017,0.06678378400101792
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.07896867938385171,6.409765860418197,13016,104017,0.040663673000381095
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.09497436272859426,8.126476517911598,9486,104017,0.025682993000373244
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.1142241410908933,10.162355740427216,6819,104017,0.018296326999916346
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.13737554044175906,12.856488041554908,4959,104017,0.01384999699985201
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.16521935670891194,16.18211245881044,3588,104017,0.011945923999519437
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.19870666745714863,20.030331374838724,2553,104017,0.010765794999315403
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.23898131840260367,25.072694811055197,1837,104017,0.009566181000991492
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.28741899442183,30.296821710421543,1276,104017,0.008920106000005035
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.34567420962707324,37.87653752551804,917,104017,0.008314957000038703
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.4157368215753044,46.92115083936368,653,104017,0.00783048800076358
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.5,57.75,462,104017,0.0075805369997397065
